type,wheel_name,wheel_ref,axle_type,overall_a,overall_b,overall_c,tolerance_a,tolerance_b,tolerance_c,f_shank_min,f_shank_max,h2h_min,h2h_max,b2b_min,b2b_max,chassis_span
hw,,"Construction XXLW  (15268, P4484, CFL91)",SA,17.45,7.49,8.38,0.05,0.05,0.12,0.15,0.165,0.83,0.85,-,-,
hw,,"Construction XXLW  (15268, P4484, CFL91)",S1,17.45,7.49,8.38,0.05,0.05,0.12,0.15,0.165,0.915,0.935,-,-,0.555
hw,,"Construction XXLW  (15268, P4484, CFL91)",MA ,17.45,7.49,8.38,0.05,0.05,0.12,0.15,0.165,0.96,0.98,0.606,0.656,0.555/0.581
hw,,"Construction XXLW  (15268, P4484, CFL91)",IA ,17.45,7.49,8.38,0.05,0.05,0.12,0.15,0.165,0.99,1.01,0.636,0.686,0.589
hw,,"Construction XXLW  (15268, P4484, CFL91)",RA,17.45,7.49,8.38,0.05,0.05,0.12,0.15,0.165,1.025,1.045,0.671,0.721,
hw,,"Construction XXLW  (15268, P4484, CFL91)",SRA,17.45,7.49,8.38,0.05,0.05,0.12,0.15,0.165,1.05,1.07,,,0.677
hw,,"Construction XXLW  (15268, P4484, CFL91)",LA,17.45,7.49,8.38,0.05,0.05,0.12,0.15,0.165,1.08,1.1,0.726,0.776,0.677 - OLD
hw,,"Construction XXLW  (15268, P4484, CFL91)",TSA,17.45,7.49,8.38,0.05,0.05,0.12,0.15,0.165,1.095,1.115,0.741,0.791,
hw,,"Construction XXLW  (15268, P4484, CFL91)",CA,17.45,7.49,8.38,0.05,0.05,0.12,0.15,0.165,1.12,1.14,0.766,0.816,
hw,,"Construction XXLW  (15268, P4484, CFL91)",SCA,17.45,7.49,8.38,0.05,0.05,0.12,0.15,0.165,1.15,1.17,0.796,0.846,0.779
hw,,"Construction XXLW  (15268, P4484, CFL91)",XLA ,17.45,7.49,8.38,0.05,0.05,0.12,0.15,0.165,1.195,1.215,0.841,0.891,
hw,,"Construction XXLW  (15268, P4484, CFL91)",S2,17.45,7.49,8.38,0.05,0.05,0.12,0.15,0.165,1.28,1.3,0.926,0.976,0.875 / 0.889
hw,,"Construction XXLW  (15268, P4484, CFL91)",DA,17.45,7.49,8.38,0.05,0.05,0.12,0.15,0.165,1.33,1.35,-,-,
hw,,"Construction XXLW  (15268, P4484, CFL91)",S3,17.45,7.49,8.38,0.05,0.05,0.12,0.15,0.165,1.435,1.455,-,-,
hw_mario,GBG26/GRN15,LW,TSA,12.62,5.33,6.55,0.05,0.05,0.12,0.162,0.175,1.095,1.115,0.721,0.767,0.689
hw_mario,GBG26/GRN15,XLWW,TSA,14.73,7.62,8.38,0.05,0.05,0.12,0.235,0.245,1.095,1.115,0.581,0.621,0.559
hw_mario,GJH55,LW,TSA,12.62,5.33,6.55,0.05,0.05,0.12,0.162,0.175,1.095,1.115,0.721,0.767,0.689
hw_mario,GJH55,XLWW,TSA,14.73,7.62,8.38,0.05,0.05,0.12,0.235,0.245,1.095,1.115,0.581,0.621,0.559
hw_mario,HDB27,LW,TSA,12.62,5.33,6.55,0.05,0.05,0.12,0.162,0.175,1.095,1.115,0.721,0.767,0.689
hw_mario,HDB28,XLWW,TSA,14.73,7.62,8.38,0.05,0.05,0.12,0.235,0.245,1.095,1.115,0.581,0.621,0.559
hw_mario,HDB32,LW,TSA,12.62,5.33,6.55,0.05,0.05,0.12,0.162,0.175,1.095,1.115,0.721,0.767,0.689
hw_mario,HDB32,LW,TSA,12.62,5.33,6.55,0.05,0.05,0.12,0.162,0.175,1.095,1.115,0.721,0.767,0.689
hw_mario,HKD42,LW,TSA,12.62,5.33,6.55,0.05,0.05,0.12,0.162,0.175,1.095,1.115,0.721,0.767,0.689
hw_mario,HKD42,XLWW,TSA,14.73,7.62,8.38,0.05,0.05,0.12,0.235,0.245,1.095,1.115,0.581,0.621,0.559
hw_mario,JJV63,LW,TSA,12.62,5.33,6.55,0.05,0.05,0.12,0.162,0.175,1.095,1.115,0.721,0.767,0.689
mb,,J2379,AX0,12.7,5.3,6.7,0.05,0.05,0.05,0.175,0.185,0.83,0.85,0.436,0.476,0.39
mb,,GMD01,AX0,12.7,5.3,6.7,0.05,0.05,0.05,0.175,0.185,0.83,0.85,0.436,0.476,0.39
mb,,J2375,AX0,12.6,5.2,6.4,0.05,0.05,0.05,0.175,0.185,-,-,-,-,0.39
mb,,J6609,AX0,12.6,5.5,6.5,0.05,0.05,0.05,0.175,0.185,-,-,-,-,0.39
mb,,M2635 (MW),AX0,11.3,5.8,6.7,0.05,0.2,0.05,0.165,0.17,,,-,-,0.39
mb,,HKW29,AX0,11.3,5.8,6.7,0.05,0.2,0.05,0.165,0.17,,,-,-,0.39
mb,,M2635 (LW),AX0,12.6,5.6,6.7,0.05,0.05,0.05,0.16,0.17,-,-,-,-,0.39
mb,,M2633,AX0,11.7,5.4,6.9,0.05,0.05,0.05,0.175,0.185,0.83,0.85,0.436,0.476,0.39
mb,,R0462,AX0,10.8,5.3,6.6,0.05,0.05,0.05,0.165,0.175,0.78,0.81,0.406,0.456,0.39
mb,,R0456,AX0,10.9,5,6.5,0.05,0.05,0.05,0.16,0.17,0.78,0.81,0.416,0.466,0.39
mb,,X4888,AX0,16.9,7.7,10,0.05,0.05,0.05,0.275,0.29,1.04,1.07,0.436,0.496,0.39
mb,,X4889,AX0,16.9,7.7,10,0.05,0.05,0.05,0.275,0.29,1.04,1.07,0.436,0.496,0.39
mb,,J6614,AX0,17,8.9,10,0.05,0.05,0.05,0.28,0.295,1.04,1.07,0.426,0.486,0.39
mb,,M2631,AX0,13.3,5.9,7,0.05,0.05,0.05,0.171,0.181,-,-,-,-,0.39
mb,,DVK24,AX0,13.3,5.9,7,0.05,0.05,0.05,0.171,0.181,-,-,-,-,0.39
mb,,J2369,AX0,11.7,5.8,6.8,0.05,0.05,0.05,0.15,0.16,-,-,-,-,0.39
mb,,K9482,AX0,12.6,5.8,6.5,0.05,0.05,0.05,0.145,0.16,-,-,-,-,0.39
mb,,J6299,AX0,11.3,5.7,6.8,0.05,0.05,0.05,0.147,0.157,-,-,-,-,0.39
mb,,J2373,AX0,11.5,5,6.8,0.05,0.05,0.05,0.195,0.205,0.83,0.85,0.396,0.436,0.39
mb,,GBK35,AX0,11.5,5,6.8,0.05,0.05,0.05,0.195,0.205,0.83,0.85,0.396,0.436,0.39
mb,,GKP16,AX0,11.7,5.4,6.9,0.05,0.05,0.05,0.16,0.17,-,-,,,0.39
mb,,JHM27,AX0,14.73,5.33,6.55,0.05,0.05,0.12,0.175,0.185,-,-,,,0.39
